,Source,Target,Weight
0,mental,health,32576
1,#mentalhealthawarenessmonth,mental,23650
2,#mentalhealthawarenessmonth,health,21990
3,#mentalhealth,#mentalhealthawarenessmonth,13231
4,#mentalhealthawarenessmonth,may,8809
5,#mentalhealthawarenessmonth,can,8047
6,#mentalhealthmatters,#mentalhealthawarenessmonth,7501
7,#mentalhealthawarenessmonth,amp,7495
8,#mentalhealthawarenessmonth,help,6787
9,mental,may,6073
10,mental,awareness,5845
11,health,may,5621
12,health,awareness,5472
13,month,mental,5202
14,month,health,4896
15,#mentalhealth,mental,4834
16,mental,can,4621
17,#mentalhealth,health,4616
18,#mentalhealthawarenessmonth,month,4573
19,#mentalhealthawarenessmonth,awareness,4550
20,#mentalhealthawarenessmonth,us,4421
21,mental,help,4321
22,health,can,4262
23,#mentalhealthawarenessmonth,support,4097
24,#mentalhealthawarenessmonth,people,4065
25,health,help,4029
26,#mentalhealth,#mentalhealthmatters,3779
27,#mentalhealthawarenessmonth,take,3747
28,#mentalhealthawareness,#mentalhealthawarenessmonth,3724
29,#mentalhealthawarenessmonth,know,3599
30,mental,amp,3555
31,#mentalhealthawarenessmonth,time,3545
32,health,amp,3383
33,#mentalhealthawarenessmonth,just,3375
34,#mentalhealthawarenessmonth,day,3336
35,#mentalhealthawarenessmonth,care,3331
36,#mentalhealthmatters,mental,3320
37,#mentalhealthawarenessmonth,need,3281
38,#mentalhealthawarenessmonth,will,3214
39,mental,illness,3203
40,#mentalhealthawarenessmonth,today,3170
41,#mentalhealthawarenessmonth,one,3163
42,#mentalhealthawarenessmonth,it’s,3162
43,#mentalhealthmatters,health,3146
44,#mentalhealthawarenessmonth,check,3114
45,awareness,month,3075
46,#mentalhealthawarenessmonth,life,2910
47,#mentalhealthawarenessmonth,get,2896
48,#mentalhealthawarenessmonth,important,2790
49,mental,support,2763
50,can,help,2643
51,care,health,2574
52,health,support,2519
53,#mentalhealthmonday,mental,2507
54,#mentalhealthmonday,health,2473
55,#mentalhealthawarenessmonth,like,2456
56,mental,people,2404
57,mental,us,2400
58,mental,care,2374
59,may,month,2287
60,#mentalhealth,#mentalhealthawareness,2252
61,health,important,2251
62,#mentalhealthawarenessmonth,learn,2247
63,#mentalhealthawarenessmonth,talk,2200
64,#mentalhealthawarenessmonth,feel,2183
65,#mentalhealthawarenessmonth,resources,2176
66,mental,stigma,2169
67,#mentalhealthawarenessmonth,make,2120
68,mental,important,2101
69,health,us,2098
70,#mentalhealthawarenessmonth,anxiety,2080
71,mental,take,2077
72,#mentalhealthawarenessmonth,join,2073
73,#mentalhealthawarenessmonth,please,2065
74,take,health,2035
75,#mentalhealthawarenessmonth,good,2031
76,#mentalhealth,#mentalhealthmonday,2024
77,may,awareness,2016
78,#mentalhealthawarenessmonth,illness,1999
79,#mentalhealthawarenessmonth,stigma,1993
80,#mentalhealthawarenessmonth,now,1959
81,#mentalhealthmonth,#mentalhealthawarenessmonth,1936
82,#mentalhealthawarenessmonth,someone,1931
83,#mentalhealthawarenessmonth,new,1925
84,#mentalhealthawarenessmonth,love,1919
85,#mentalhealthawarenessmonth,many,1892
86,#mentalhealthawarenessmonth,share,1890
87,#mentalhealth,amp,1880
88,health,people,1870
89,#mentalhealthawarenessmonth,depression,1842
90,#mentalhealthawarenessmonth,work,1837
91,#mentalhealth,can,1830
92,health,stigma,1806
93,#mentalhealth,may,1779
94,mental,resources,1770
95,#mentalhealthawarenessmonth,#mentalhealthawarenessweek,1766
96,#mentalhealthawareness,mental,1765
97,know,mental,1757
98,mental,check,1732
99,take,care,1702
100,#mentalhealthawareness,health,1681
101,health,resources,1679
102,health,check,1671
103,mental,time,1671
104,#mentalhealthawarenessmonth,alone,1669
105,#mentalhealthawarenessmonth,year,1658
106,#mentalhealth,help,1648
107,#mentalhealthawareness,#mentalhealthmatters,1642
108,#mentalhealthawarenessmonth,want,1628
109,#mentalhealthawarenessmonth,great,1623
110,#mentalhealthawarenessmonth,thank,1619
111,rare,beauty,1619
112,#mentalhealthawarenessmonth,see,1601
113,may,amp,1594
114,#mentalhealthawarenessmonth,remember,1594
115,need,mental,1593
116,#mentalhealthawarenessmonth,dont,1577
117,know,health,1573
118,help,may,1553
119,#mentalhealthawarenessmonth,happy,1547
120,health,time,1546
121,mental,learn,1524
122,#mentalhealthawarenessmonth,always,1523
123,mental,will,1516
124,#mentalhealthawarenessmonth,everyone,1482
125,help,amp,1478
126,#mentalhealthawarenessmonth,free,1472
127,#mentalhealthawarenessmonth,things,1467
128,mental,one,1457
129,day,mental,1453
130,mental,it’s,1452
131,#mentalhealthawarenessmonth,way,1450
132,health,physical,1446
133,need,health,1440
134,#mentalhealthawarenessmonth,others,1436
135,health,learn,1434
136,health,will,1431
137,#mentalhealthmonday,#mentalhealthmatters,1429
138,#mentalhealthawarenessmonth,week,1422
139,#mentalhealthawarenessmonth,read,1411
140,amp,can,1410
141,#mentalhealthawarenessmonth,find,1395
142,#mentalhealthawarenessmonth,going,1395
143,#mentalhealthmonday,can,1391
144,just,health,1389
145,#mentalhealthawarenessmonth,wellbeing,1387
146,#depression,#mentalhealthawarenessmonth,1378
147,#mentalhealthawarenessmonth,i’m,1357
148,#mentalhealthawarenessmonth,don’t,1343
149,mental,talk,1342
150,#mentalhealthawarenessmonth,tips,1340
151,day,health,1328
